Nome,imagem,CodigoRgb,NomesCor,tipo
BalcÃ£o de Cozinha com Tampo CarmÃ©nere 3 PT 2 GV Castanho e Chumbo,https://static.mobly.com.br/p/Ronipa-BalcC3A3o-de-Cozinha-com-Tampo-CarmC3A9nere-3-PT-2-GV-Castanho-e-Chumbo-7683-207637-1-cart.jpg,"[[215, 176, 154], [84, 84, 83], [254, 254, 253], [132, 127, 123], [221, 211, 205]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
ArmÃ¡rio para Micro-ondas Asti 1 PT Branco,https://static.mobly.com.br/p/BRV-MC3B3veis-ArmC3A1rio-para-Micro-ondas-Asti-1-PT-Branco-4638-63321-1-cart.jpg,"[[254, 254, 254], [173, 173, 173], [222, 222, 222], [198, 198, 198], [151, 151, 151]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
BalcÃ£o de Cozinha Bruges com Tampo 1 PT FreijÃ³ e Off White 60 cm,https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-Bruges-com-Tampo-1-PT-FreijC3B3-e-Off-White-60-cm-5252-788188-1-cart.jpg,"[[254, 254, 253], [133, 105, 73], [237, 235, 223], [197, 188, 175], [167, 141, 111]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
BalcÃ£o de Cozinha Iluminata 2 PT 3 GV Branco 120 cm,https://static.mobly.com.br/p/GENIALFLEX-BalcC3A3o-de-Cozinha-Iluminata-2-PT-3-GV-Branco-120-cm-6011-8469301-1-cart.jpg,"[[254, 253, 253], [225, 221, 220], [228, 113, 69], [124, 116, 112], [208, 176, 162]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Paneleiro Chardonnay 2 PT Castanho e Branco,https://static.mobly.com.br/p/Ronipa-Paneleiro-Chardonnay-2-PT-Castanho-e-Branco-2086-966637-1-cart.jpg,"[[254, 254, 254], [211, 186, 169], [235, 233, 231], [144, 134, 119], [197, 156, 129]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Paneleiro
BalcÃ£o de Cozinha com Tampo New 2 PT 1 GV Tannat e Branco,https://static.mobly.com.br/p/BATROL-BalcC3A3o-de-Cozinha-com-Tampo-New-2-PT-1-GV-Tannat-e-Branco-4941-7290211-1-cart.jpg,"[[252, 252, 252], [75, 59, 48], [178, 175, 173], [141, 139, 137], [222, 220, 220]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Paneleiro Duplo Forno Firenze 4 PT Avena,https://static.mobly.com.br/p/DemC3B3bile-Paneleiro-Duplo-Forno-Firenze-4-PT-Avena-2746-4442001-1-cart.jpg,"[[210, 198, 186], [191, 167, 146], [53, 48, 43], [254, 254, 253], [129, 115, 103]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Paneleiro
ArmÃ¡rio AÃ©reo Napoli Prime 1 PT Castanho e Branco,https://static.mobly.com.br/p/Ronipa-ArmC3A1rio-AC3A9reo-Napoli-Prime-1-PT-Castanho-e-Branco-1015-220667-1-cart.jpg,"[[254, 254, 253], [123, 100, 82], [57, 38, 23], [214, 214, 214], [169, 150, 135]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Fruteira Curitiba 1 GV Branca,https://static.mobly.com.br/p/Arte-MC3B3veis-Fruteira-Curitiba-1-GV-Branca-4700-3951301-1-cart.jpg,"[[254, 254, 254], [161, 161, 161], [216, 216, 216], [134, 134, 134], [185, 185, 185]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
ArmÃ¡rio AÃ©reo Botanic com Tela 2 PT Nogueira 80 cm,https://static.mobly.com.br/p/Kappesberg-ArmC3A1rio-AC3A9reo-Botanic-com-Tela-2-PT-Nogueira-80-cm-3861-927599-1-cart.jpg,"[[177, 162, 137], [254, 254, 253], [135, 111, 80], [133, 124, 116], [220, 210, 195]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
